Entry,Entry name,Gene names,Protein families
A4FU28,CTGE9_HUMAN,CTAGE9,CTAGE family
P99999,CYC_HUMAN,CYCS CYC,Cytochrome c family
P0C866,F91A2_HUMAN,LINC00869 FAM91A2 KIAA0493,FAM91 family
Q9NXE8,CWC25_HUMAN,CWC25 CCDC49,CWC25 family
P26232,CTNA2_HUMAN,CTNNA2 CAPR,Vinculin/alpha-catenin family
P78312,F193A_HUMAN,FAM193A C4orf8 RES4-22,FAM193 family
Q9UI47,CTNA3_HUMAN,CTNNA3,Vinculin/alpha-catenin family
Q5T9C2,F102A_HUMAN,FAM102A C9orf132 EEIG1,FAM102 family
Q9H098,F107B_HUMAN,FAM107B C10orf45,FAM107 family
Q9UBT7,CTNL1_HUMAN,CTNNAL1,Vinculin/alpha-catenin family
Q8TF08,CX7B2_HUMAN,COX7B2,Cytochrome c oxidase VIIb family
P0C5K7,CT62_HUMAN,CT62,
P57773,CXA9_HUMAN,GJA9 GJA10,"Connexin family, Alpha-type (group II) subfamily"
P78310,CXAR_HUMAN,CXADR CAR,
P59037,CU084_HUMAN,LINC00313 C21orf84 NCRNA00313,
Q13618,CUL3_HUMAN,CUL3 KIAA0617,Cullin family
Q9NYP8,CU062_HUMAN,C21orf62 C21orf120,
P50402,EMD_HUMAN,EMD EDMD STA,
Q13609,DNSL3_HUMAN,DNASE1L3 DHP2 DNAS1L3,DNase I family
Q16394,EXT1_HUMAN,EXT1,Glycosyltransferase 47 family
Q9NYF5,FA13B_HUMAN,FAM13B C5orf5 FAM13B1,FAM13 family
A6NFU0,F187A_HUMAN,FAM187A,FAM187 family
Q9NY74,ETAA1_HUMAN,ETAA1 ETAA16,
Q49AJ0,F135B_HUMAN,FAM135B C8orfK32,FAM135 family
Q9NX05,F120C_HUMAN,FAM120C CXorf17,Constitutive coactivator of PPAR-gamma family
Q5JX71,F209A_HUMAN,FAM209A C20orf106,FAM209 family
Q1W6H9,F110C_HUMAN,FAM110C,FAM110 family
Q5T890,ER6L2_HUMAN,ERCC6L2 C9orf102 RAD26L,SNF2/RAD54 helicase family
P41162,ETV3_HUMAN,ETV3 METS PE1,ETS family
A8MXZ1,F90AN_HUMAN,FAM90A23P FAM90A23,FAM90 family
B6SEH8,ERVV1_HUMAN,ERVV-1 ENVV1,Gamma type-C retroviral envelope protein family
B6SEH9,ERVV2_HUMAN,ERVV-2 ENVV2,Gamma type-C retroviral envelope protein family
Q56NI9,ESCO2_HUMAN,ESCO2,"Acetyltransferase family, ECO subfamily"
Q9Y5Q0,FADS3_HUMAN,FADS3 CYB5RP,Fatty acid desaturase type 1 family
Q11130,FUT7_HUMAN,FUT7,Glycosyltransferase 10 family
P63145,GAK24_HUMAN,ERVK-24,"Beta type-B retroviral Gag protein family, HERV class-II K(HML-2) gag subfamily"
P63126,GAK9_HUMAN,ERVK-9,"Beta type-B retroviral Gag protein family, HERV class-II K(HML-2) gag subfamily"
Q9P0K9,FRS1L_HUMAN,FRRS1L C9orf4,
P27469,G0S2_HUMAN,G0S2,
Q12947,FOXF2_HUMAN,FOXF2 FKHL6 FREAC2,
P25021,HRH2_HUMAN,HRH2,G-protein coupled receptor 1 family
Q9UPW0,FOXJ3_HUMAN,FOXJ3 KIAA1041,
O95876,FRITZ_HUMAN,WDPCP BBS15 C2orf86 FRITZ,WD repeat fritz family
Q96I24,FUBP3_HUMAN,FUBP3 FBP3,
Q86XX4,FRAS1_HUMAN,FRAS1 KIAA1500,FRAS1 family
P01880,IGHD_HUMAN,IGHD,
O14893,GEMI2_HUMAN,GEMIN2 SIP1,Gemin-2 family
Q8TCB0,IFI44_HUMAN,IFI44 MTAP44,IFI44 family
Q8IVV7,GID4_HUMAN,GID4 C17orf39 VID24,GID4/VID24 family
P43026,GDF5_HUMAN,GDF5 BMP14 CDMP1,TGF-beta family
P13284,GILT_HUMAN,IFI30 GILT IP30,GILT family
Q96ID5,IGS21_HUMAN,IGSF21,
Q9NUV9,GIMA4_HUMAN,GIMAP4 IAN1 IMAP4 MSTP062,"TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, AIG1/Toc34/Toc159-like paraseptin GTPase family, IAN subfamily"
Q9UBI6,GBG12_HUMAN,GNG12,G protein gamma family
Q8ND71,GIMA8_HUMAN,GIMAP8 IAN9 IANT,"TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, AIG1/Toc34/Toc159-like paraseptin GTPase family, IAN subfamily"
O14879,IFIT3_HUMAN,IFIT3 CIG-49 IFI60 IFIT4 ISG60,IFIT family
Q3B7J2,GFOD2_HUMAN,GFOD2 UNQ9430/PRO34691,Gfo/Idh/MocA family
P61952,GBG11_HUMAN,GNG11 GNGT11,G protein gamma family
Q99684,GFI1_HUMAN,GFI1 ZNF163,
O60383,GDF9_HUMAN,GDF9,TGF-beta family
P63215,GBG3_HUMAN,GNG3 GNGT3,G protein gamma family
Q8IVK1,GLCM1_HUMAN,GLYCAM1,PP3/GlyCAM-1 family
Q99928,GBRG3_HUMAN,GABRG3,"Ligand-gated ion channel (TC 1.A.9) family, Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily, GABRG3 sub-subfamily"
O75879,GATB_HUMAN,GATB PET112 PET112L HSPC199,"GatB/GatE family, GatB subfamily"
Q02153,GCYB1_HUMAN,GUCY1B1 GUC1B3 GUCSB3 GUCY1B3,Adenylyl cyclase class-4/guanylyl cyclase family
O75343,GCYB2_HUMAN,GUCY1B2,Adenylyl cyclase class-4/guanylyl cyclase family
Q9H4A6,GOLP3_HUMAN,GOLPH3 GPP34,GOLPH3/VPS74 family
P01148,GON1_HUMAN,GNRH1 GNRH GRH LHRH,GnRH family
Q8NBZ0,IN80E_HUMAN,INO80E CCDC95,
P23229,ITA6_HUMAN,ITGA6,Integrin alpha chain family
Q99678,GPR20_HUMAN,GPR20,G-protein coupled receptor 1 family
Q9Y692,GMEB1_HUMAN,GMEB1,
Q13797,ITA9_HUMAN,ITGA9,Integrin alpha chain family
P0DMQ5,INAM2_HUMAN,INAFM2 LINC00984 OGU1,
Q15760,GPR19_HUMAN,GPR19,G-protein coupled receptor 1 family
Q8NDV2,GPR26_HUMAN,GPR26,G-protein coupled receptor 1 family
P26440,IVD_HUMAN,IVD,Acyl-CoA dehydrogenase family
Q9BZJ8,GPR61_HUMAN,GPR61 BALGR GPCR3,G-protein coupled receptor 1 family
Q9BZJ7,GPR62_HUMAN,GPR62,G-protein coupled receptor 1 family
Q14667,K0100_HUMAN,KIAA0100 BCOX1,SABRE family
A0PJZ3,GXLT2_HUMAN,GXYLT2 GLT8D4,Glycosyltransferase 8 family
P54840,GYS2_HUMAN,GYS2,Glycosyltransferase 3 family
Q92628,K0232_HUMAN,KIAA0232,
P69892,HBG2_HUMAN,HBG2,Globin family
Q8NCT3,K0895_HUMAN,KIAA0895,
Q9H116,GZF1_HUMAN,GZF1 ZBTB23 ZNF336,Krueppel C2H2-type zinc-finger protein family
Q9Y450,HBS1L_HUMAN,HBS1L HBS1 KIAA1038,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family"
Q13322,GRB10_HUMAN,GRB10 GRBIR KIAA0207,GRB7/10/14 family
O00222,GRM8_HUMAN,GRM8 GPRC1H MGLUR8,G-protein coupled receptor 3 family
Q53T59,H1BP3_HUMAN,HS1BP3,
Q99706,KI2L4_HUMAN,KIR2DL4 CD158D KIR103AS,Immunoglobulin superfamily
O43824,GTPB6_HUMAN,GTPBP6 PGPL,"TRAFAC class OBG-HflX-like GTPase superfamily, HflX GTPase family"
Q8TD20,GTR12_HUMAN,SLC2A12 GLUT12,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family, Glucose transporter subfamily"
P56915,GSC_HUMAN,GSC,"Paired homeobox family, Bicoid subfamily"
Q8N743,KI3L3_HUMAN,KIR3DL3 CD158Z KIR3DL7 KIRC1,Immunoglobulin superfamily
Q4AE62,GTDC1_HUMAN,GTDC1,"Glycosyltransferase group 1 family, Glycosyltransferase 4 subfamily"
Q9UGJ0,AAKG2_HUMAN,PRKAG2,5'-AMP-activated protein kinase gamma subunit family
Q96P26,5NT1B_HUMAN,NT5C1B AIRP FKSG85,5'-nucleotidase type 3 family
Q9NRG9,AAAS_HUMAN,AAAS ADRACALA GL003,
Q86V21,AACS_HUMAN,AACS ACSF1,ATP-dependent AMP-binding enzyme family
Q9BYF1,ACE2_HUMAN,ACE2 UNQ868/PRO1885,Peptidase M2 family
Q15699,ALX1_HUMAN,ALX1 CART1,Paired homeobox family
Q99218,AMELY_HUMAN,AMELY AMGL AMGY,Amelogenin family
Q9BQI0,AIF1L_HUMAN,AIF1L C9orf58 IBA2 UNQ672/PRO1306,
Q9Y4X0,AMMR1_HUMAN,AMMECR1,
Q8IY63,AMOL1_HUMAN,AMOTL1,Angiomotin family
P30837,AL1B1_HUMAN,ALDH1B1 ALDH5 ALDHX,Aldehyde dehydrogenase family
Q13155,AIMP2_HUMAN,AIMP2 JTV1 PRO0992,
P42025,ACTY_HUMAN,ACTR1B CTRN2,"Actin family, ARP1 subfamily"
Q8TD30,ALAT2_HUMAN,GPT2 AAT2 ALT2,"Class-I pyridoxal-phosphate-dependent aminotransferase family, Alanine aminotransferase subfamily"
Q9Y3Q7,ADA18_HUMAN,ADAM18 TMDC3 UNQ858/PRO1867,
Q96IF1,AJUBA_HUMAN,AJUBA JUB,Zyxin/ajuba family
Q02952,AKA12_HUMAN,AKAP12 AKAP250,
Q8IVF2,AHNK2_HUMAN,AHNAK2 C14orf78 KIAA2019,
P02768,ALBU_HUMAN,ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341,ALB/AFP/VDB family
P51816,AFF2_HUMAN,AFF2 FMR2 OX19,AF4 family
Q495B1,AKD1A_HUMAN,ANKDD1A,
Q3MIX3,ADCK5_HUMAN,ADCK5,"Protein kinase superfamily, ADCK protein kinase family"
Q9H165,BC11A_HUMAN,BCL11A CTIP1 EVI9 KIAA1809 ZNF856,
Q8IUX7,AEBP1_HUMAN,AEBP1 ACLP,Peptidase M14 family
Q8N9B4,ANR42_HUMAN,ANKRD42,
Q06481,APLP2_HUMAN,APLP2 APPL2,APP family
Q92625,ANS1A_HUMAN,ANKS1A ANKS1 KIAA0229 ODIN,
Q99459,CDC5L_HUMAN,CDC5L KIAA0432 PCDC5RP,CEF1 family
Q6NXT1,ANR54_HUMAN,ANKRD54 LIAR,
Q0VD83,APOBR_HUMAN,APOBR APOB48R,
P02654,APOC1_HUMAN,APOC1,Apolipoprotein C1 family
P08758,ANXA5_HUMAN,ANXA5 ANX5 ENX2 PP4,Annexin family
P50995,ANX11_HUMAN,ANXA11 ANX11,Annexin family
Q9Y264,ANGP4_HUMAN,ANGPT4 ANG3 ANG4,
Q92674,CENPI_HUMAN,CENPI FSHPRH1 ICEN19 LRPR1,CENP-I/CTF3 family
Q9Y5C1,ANGL3_HUMAN,ANGPTL3 ANGPT5 UNQ153/PRO179,
Q9BY76,ANGL4_HUMAN,ANGPTL4 ARP4 HFARP PGAR PP1158 PSEC0166 UNQ171/PRO197,
Q93084,AT2A3_HUMAN,ATP2A3,"Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIA subfamily"
P32320,CDD_HUMAN,CDA CDD,Cytidine and deoxycytidylate deaminase family
O14983,AT2A1_HUMAN,ATP2A1,"Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIA subfamily"
P18848,ATF4_HUMAN,ATF4 CREB2 TXREB,BZIP family
A6ND91,ASPD_HUMAN,ASPDH,L-aspartate dehydrogenase family
Q9BT09,CNPY3_HUMAN,CNPY3 CTG4A ERDA5 PRAT4A TNRC5 HSPC084 UNQ1934/PRO4409,Canopy family
Q6HA08,ASTL_HUMAN,ASTL,
Q8TDY4,ASAP3_HUMAN,ASAP3 DDEFL1 UPLC1,
P98198,AT8B2_HUMAN,ATP8B2 ATPID KIAA1137,"Cation transport ATPase (P-type) (TC 3.A.3) family, Type IV subfamily"
Q8WXH4,ASB11_HUMAN,ASB11,Ankyrin SOCS box (ASB) family
Q8NBU5,ATAD1_HUMAN,ATAD1 FNP001,"AAA ATPase family, MSP1 subfamily"
Q8WXK1,ASB15_HUMAN,ASB15,Ankyrin SOCS box (ASB) family
O60423,AT8B3_HUMAN,ATP8B3 ATP1K FOS37502_2,"Cation transport ATPase (P-type) (TC 3.A.3) family, Type IV subfamily"
Q6ZSJ8,CA122_HUMAN,C1orf122,
A1L170,CA226_HUMAN,C1orf226,
Q00534,CDK6_HUMAN,CDK6 CDKN6,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily"
O75794,CD123_HUMAN,CDC123 C10orf7 D123,CDC123 family
P11802,CDK4_HUMAN,CDK4,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily"
Q9UFW8,CGBP1_HUMAN,CGGBP1 CGGBP,
Q6NUI6,CHADL_HUMAN,CHADL SLRR4B,"Small leucine-rich proteoglycan (SLRP) family, SLRP class IV subfamily"
O43745,CHP2_HUMAN,CHP2 HCA520,"Calcineurin regulatory subunit family, CHP subfamily"
Q99674,CGRE1_HUMAN,CGREF1 CGR11,
Q5VT06,CE350_HUMAN,CEP350 CAP350 KIAA0480 GM133,
P0C7X3,CCYL3_HUMAN,CCNYL3,"Cyclin family, Cyclin Y subfamily"
Q96N23,CFA54_HUMAN,CFAP54 C12orf55 C12orf63,CFAP54 family
Q9Y3E7,CHMP3_HUMAN,CHMP3 CGI149 NEDF VPS24 CGI-149,SNF7 family
P17676,CEBPB_HUMAN,CEBPB TCF5 PP9092,"BZIP family, C/EBP subfamily"
Q96LM5,CD045_HUMAN,C4orf45,
Q9NZZ3,CHMP5_HUMAN,CHMP5 C9orf83 SNF7DC2 CGI-34 HSPC177 PNAS-114 PNAS-2,SNF7 family
Q7Z4T9,CFA91_HUMAN,CFAP91 AAT1 C3orf15 MAATS1,
O14735,CDIPT_HUMAN,CDIPT PIS PIS1,CDP-alcohol phosphatidyltransferase class-I family
Q8WUX9,CHMP7_HUMAN,CHMP7,SNF7 family
Q00536,CDK16_HUMAN,CDK16 PCTAIRE1 PCTK1,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily"
P29279,CCN2_HUMAN,CCN2 CTGF HCS24 IGFBP8,CCN family
Q3L8U1,CHD9_HUMAN,CHD9 KIAA0308 KISH2 PRIC320 AD-013 x0008,SNF2/RAD54 helicase family
O95389,CCN6_HUMAN,CCN6 WISP3 UNQ462/PRO790/PRO956,CCN family
Q96H22,CENPN_HUMAN,CENPN C16orf60 ICEN32 BM-309,CENP-N/CHL4 family
O00622,CCN1_HUMAN,CCN1 CYR61 GIG1 IGFBP10,CCN family
Q9BWU1,CDK19_HUMAN,CDK19 CDC2L6 CDK11 KIAA1028,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily"
O00421,CCRL2_HUMAN,CCRL2 CCR11 CCR6 CKRX CRAM HCR,G-protein coupled receptor 1 family
Q8NF50,DOCK8_HUMAN,DOCK8,DOCK family
Q9H4I9,EMRE_HUMAN,SMDT1 C22orf32 EMRE,SMDT1/EMRE family
Q9NXB9,ELOV2_HUMAN,ELOVL2 ELG3 SSC2,"ELO family, ELOVL2 subfamily"
Q9GZR5,ELOV4_HUMAN,ELOVL4,"ELO family, ELOVL4 subfamily"
P78545,ELF3_HUMAN,ELF3 ERT ESX JEN,ETS family
Q5T7V8,GORAB_HUMAN,GORAB NTKLBP1 SCYL1BP1,GORAB family
Q9P107,GMIP_HUMAN,GMIP,
Q9BQQ3,GORS1_HUMAN,GORASP1 GOLPH5 GRASP65,GORASP family
Q99445,GML_HUMAN,GML LY6DL,
Q9H8Y8,GORS2_HUMAN,GORASP2 GOLPH6,GORASP family
Q8IX06,GOR_HUMAN,REXO1L1P GOR REXO1L1,REXO1/REXO3 family
Q96IJ6,GMPPA_HUMAN,GMPPA,Transferase hexapeptide repeat family
P04921,GLPC_HUMAN,GYPC GLPC GPC,Glycophorin-C family
O95249,GOSR1_HUMAN,GOSR1 GS28,GOSR1 family
Q9Y5P6,GMPPB_HUMAN,GMPPB,Transferase hexapeptide repeat family
P23415,GLRA1_HUMAN,GLRA1,"Ligand-gated ion channel (TC 1.A.9) family, Glycine receptor (TC 1.A.9.3) subfamily, GLRA1 sub-subfamily"
P36959,GMPR1_HUMAN,GMPR GMPR1,"IMPDH/GMPR family, GuaC type 1 subfamily"
O14653,GOSR2_HUMAN,GOSR2 GS27,GOSR2 family
Q6IB77,GLYAT_HUMAN,GLYAT ACGNAT CAT GAT,Glycine N-acyltransferase family
Q9P2T1,GMPR2_HUMAN,GMPR2,"IMPDH/GMPR family, GuaC type 1 subfamily"
P23416,GLRA2_HUMAN,GLRA2,"Ligand-gated ion channel (TC 1.A.9) family, Glycine receptor (TC 1.A.9.3) subfamily, GLRA2 sub-subfamily"
Q6ZVE7,GOT1A_HUMAN,GOLT1A GOT1B,GOT1 family
O75311,GLRA3_HUMAN,GLRA3,"Ligand-gated ion channel (TC 1.A.9) family, Glycine receptor (TC 1.A.9.3) subfamily, GLRA3 sub-subfamily"
Q9Y3E0,GOT1B_HUMAN,GOLT1B GCT2 GOT1A CGI-141 HDCMA39P UNQ432/PRO793,GOT1 family
P48167,GLRB_HUMAN,GLRB,"Ligand-gated ion channel (TC 1.A.9) family, Glycine receptor (TC 1.A.9.3) subfamily, GLRB sub-subfamily"
Q96P66,GP101_HUMAN,GPR101,G-protein coupled receptor 1 family
P15421,GLPE_HUMAN,GYPE GPE,Glycophorin-A family
Q5VW38,GP107_HUMAN,GPR107 KIAA1624 LUSTR1,LU7TM family
Q9NPR9,GP108_HUMAN,GPR108 LUSTR2,LU7TM family
O94925,GLSK_HUMAN,GLS GLS1 KIAA0838,Glutaminase family
Q8TDV5,GP119_HUMAN,GPR119,G-protein coupled receptor 1 family
Q9UI32,GLSL_HUMAN,GLS2 GA,Glutaminase family
Q9UNW8,GP132_HUMAN,GPR132 G2A,G-protein coupled receptor 1 family
Q8IZ08,GP135_HUMAN,GPR135,G-protein coupled receptor 1 family
Q6DWJ6,GP139_HUMAN,GPR139 GPRG1 PGR3,G-protein coupled receptor 1 family
Q96EB1,ELP4_HUMAN,ELP4 C11orf19 PAXNEB,ELP4 family
Q7Z602,GP141_HUMAN,GPR141 PGR13,G-protein coupled receptor 1 family
P51810,GP143_HUMAN,GPR143 OA1,G-protein coupled receptor OA family
B5ME19,EIFCL_HUMAN,EIF3CL,EIF-3 subunit C family
O00423,EMAL1_HUMAN,EML1 EMAP1 EMAPL EMAPL1,WD repeat EMAP family
Q9NZN3,EHD3_HUMAN,EHD3 EHD2 PAST3,"TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family, EHD subfamily"
P35754,GLRX1_HUMAN,GLRX GRX,Glutaredoxin family
Q05BV3,EMAL5_HUMAN,EML5,WD repeat EMAP family
Q96KQ7,EHMT2_HUMAN,EHMT2 BAT8 C6orf30 G9A KMT1C NG36,"Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, Suvar3-9 subfamily"
P29317,EPHA2_HUMAN,EPHA2 ECK,"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily"
Q8N5W8,FA24B_HUMAN,FAM24B,FAM24 family
P04626,ERBB2_HUMAN,ERBB2 HER2 MLN19 NEU NGL,"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily"
P21860,ERBB3_HUMAN,ERBB3 HER3,"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily"
Q3ZCQ3,F174B_HUMAN,FAM174B,FAM174 family
Q14320,FA50A_HUMAN,FAM50A DXS9928E HXC26 XAP5,FAM50 family
Q8IXR5,F178B_HUMAN,FAM178B HSPC234,FAM178 family
Q7L5A8,FA2H_HUMAN,FA2H FAAH FAXDC1,"Sterol desaturase family, SCS7 subfamily"
Q6P995,F171B_HUMAN,FAM171B KIAA1946 NPD019,FAM171 family
O95990,F107A_HUMAN,FAM107A DRR1 TU3A,FAM107 family
P13804,ETFA_HUMAN,ETFA,ETF alpha-subunit/FixB family
Q9C0D9,EPT1_HUMAN,SELENOI EPT1 KIAA1724 SELI,CDP-alcohol phosphatidyltransferase class-I family
Q96CN4,EVI5L_HUMAN,EVI5L,
Q96PL5,ERMAP_HUMAN,ERMAP RD SC,"Immunoglobulin superfamily, BTN/MOG family"
Q9H2F5,EPC1_HUMAN,EPC1,Enhancer of polycomb family
Q9NQT4,EXOS5_HUMAN,EXOSC5 CML28 RRP46,RNase PH family
Q1W209,ESRG_HUMAN,ESRG HESRG,
Q52LR7,EPC2_HUMAN,EPC2,Enhancer of polycomb family
Q06265,EXOS9_HUMAN,EXOSC9 PMSCL1,RNase PH family
Q5MY95,ENTP8_HUMAN,ENTPD8 UNQ2492/PRO5779,GDA1/CD39 NTPase family
P49961,ENTP1_HUMAN,ENTPD1 CD39,GDA1/CD39 NTPase family
Q8TAM6,ERMIN_HUMAN,ERMN KIAA1189,
Q8TE68,ES8L1_HUMAN,EPS8L1 DRC3 EPS8R1 PP10566,EPS8 family
Q96LL3,FIMP_HUMAN,FIMP C16orf92,
P0C7T7,FMAS1_HUMAN,FRMD6-AS1 C14orf82,
O15552,FFAR2_HUMAN,FFAR2 FFA2 GPCR43 GPR43,G-protein coupled receptor 1 family
Q68DA7,FMN1_HUMAN,FMN1 FMN LD,"Formin homology family, Cappuccino subfamily"
P98174,FGD1_HUMAN,FGD1 FGDY ZFYVE3,
A5D6W6,FITM1_HUMAN,FITM1 FIT1,"FIT family, FIT1 subfamily"
Q5JSP0,FGD3_HUMAN,FGD3 ZFYVE5,
Q01740,FMO1_HUMAN,FMO1,FMO family
Q8IVF7,FMNL3_HUMAN,FMNL3 FHOD3 FRL2 KIAA2014 WBP3,Formin homology family
P61328,FGF12_HUMAN,FGF12 FGF12B FHF1,Heparin-binding growth factors family
O60774,FMO6_HUMAN,FMO6P FMO6,FMO family
P31512,FMO4_HUMAN,FMO4 FMO2,FMO family
Q92914,FGF11_HUMAN,FGF11 FHF3,Heparin-binding growth factors family
Q96LA5,FCRL2_HUMAN,FCRL2 FCRH2 IFGP4 IRTA4 SPAP1 UNQ9236/PRO31998,
Q9NP95,FGF20_HUMAN,FGF20,Heparin-binding growth factors family
Q6BAA4,FCRLB_HUMAN,FCRLB FCRL2 FCRLM2 FCRY FREB2,
Q6X9E4,FBW12_HUMAN,FBXW12 FBW12 FBXO12 FBXO35,
P12034,FGF5_HUMAN,FGF5,Heparin-binding growth factors family
Q9NYL4,FKB11_HUMAN,FKBP11 FKBP19 UNQ336/PRO535,FKBP-type PPIase family
Q5XX13,FBW10_HUMAN,FBXW10,
Q9NVF7,FBX28_HUMAN,FBXO28 CENP-30 KIAA0483,
Q8NEA4,FBX36_HUMAN,FBXO36 FBX36,
A8MYX2,FM25E_HUMAN,FAM25E FAM25D,FAM25 family
Q9UH90,FBX40_HUMAN,FBXO40 FBX40 KIAA1195,
Q8N4B4,FBX39_HUMAN,FBXO39 FBX39,
B3EWG5,FM25C_HUMAN,FAM25C,FAM25 family
Q5MNV8,FBX47_HUMAN,FBXO47,
Q9H479,FN3K_HUMAN,FN3K,Fructosamine kinase family
Q6PJ61,FBX46_HUMAN,FBXO46 FBX46 FBXO34L,
Q9NRD0,FBX8_HUMAN,FBXO8 FBS FBX8 DC10 UNQ1877/PRO4320,
P09769,FGR_HUMAN,FGR SRC2,"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily"
Q92562,FIG4_HUMAN,FIG4 KIAA0274 SAC3,
P57775,FBXW4_HUMAN,FBXW4 FBW4 SHFM3,
Q9BYE0,HES7_HUMAN,HES7 BHLHB37,
B1AJZ9,FHAD1_HUMAN,FHAD1 KIAA1937,
P06734,FCER2_HUMAN,FCER2 CD23A CLEC4J FCE2 IGEBF,
Q9C0D6,FHDC1_HUMAN,FHDC1 INF1 KIAA1727,
Q5VT28,FAM27_HUMAN,FAM27B FAM27A FAM27A1 FAM27A2; FAM27C FAM27A3,FAM27 family
Q96BQ1,FAM3D_HUMAN,FAM3D UNQ567/PRO1130,FAM3 family
Q96RJ6,FER3L_HUMAN,FERD3L BHLHA31 NATO3 NTWIST,
Q68CZ1,FTM_HUMAN,RPGRIP1L FTM KIAA1005 NPHP8,RPGRIP1 family
Q2WGN9,GAB4_HUMAN,GAB4,GAB family
P28476,GBRR2_HUMAN,GABRR2,"Ligand-gated ion channel (TC 1.A.9) family, Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily, GABRR2 sub-subfamily"
Q14410,GLPK2_HUMAN,GK2 GKP2 GKTA,FGGY kinase family
Q7Z2Y8,GVIN1_HUMAN,GVINP1 GVIN1 VLIG1,"TRAFAC class dynamin-like GTPase superfamily, Very large inducible GTPase (VLIG) family"
Q9NYQ3,HAOX2_HUMAN,HAO2 HAOX2 GIG16,FMN-dependent alpha-hydroxy acid dehydrogenase family
P43629,KI3L1_HUMAN,KIR3DL1 CD158E NKAT3 NKB1,Immunoglobulin superfamily
Q969Y2,GTPB3_HUMAN,GTPBP3 MTGP1,"TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, TrmE GTPase family"
Q5SVS4,KMCP1_HUMAN,SLC25A30 KMCP1,Mitochondrial carrier (TC 2.A.29) family
A4D1E9,GTPBA_HUMAN,GTPBP10 OBGH2 UG0751c10,"TRAFAC class OBG-HflX-like GTPase superfamily, OBG GTPase family"
A4D1Z8,GRIFN_HUMAN,GRIFIN,
O60506,HNRPQ_HUMAN,SYNCRIP HNRPQ NSAP1,
Q8IYG6,LRC56_HUMAN,LRRC56,LRRC56 family
Q8TD35,LKAM1_HUMAN,LKAAEAR1 C20orf201,
P54315,LIPR1_HUMAN,PNLIPRP1 PLRP1,"AB hydrolase superfamily, Lipase family"
S4R3Y5,HMN11_HUMAN,MTRNR2L11,Humanin family
P30519,HMOX2_HUMAN,HMOX2 HO2,Heme oxygenase family
P09960,LKHA4_HUMAN,LTA4H LTA4,Peptidase M1 family
Q96JA1,LRIG1_HUMAN,LRIG1 LIG1,
P04439,HLAA_HUMAN,HLA-A HLAA,MHC class I family
P59901,LIRA4_HUMAN,LILRA4 ILT7,
P26583,HMGB2_HUMAN,HMGB2 HMG2,HMGB family
Q6PI73,LIRA6_HUMAN,LILRA6 ILT8,
P05114,HMGN1_HUMAN,HMGN1 HMG14,HMGN family
P05204,HMGN2_HUMAN,HMGN2 HMG17,HMGN family
O00479,HMGN4_HUMAN,HMGN4 HMG17L3 NHC,HMGN family
P82970,HMGN5_HUMAN,HMGN5 NSBP1,HMGN family
P0DOX5,IGG1_HUMAN,,
P55010,IF5_HUMAN,EIF5,EIF-2-beta/eIF-5 family
P56537,IF6_HUMAN,EIF6 EIF3A ITGB4BP OK/SW-cl.27,EIF-6 family
P14735,IDE_HUMAN,IDE,Peptidase M16 family
Q7Z4F1,LRP10_HUMAN,LRP10 MSTP087 SP220 UNQ389/PRO724,LDLR family
P01854,IGHE_HUMAN,IGHE,
P54105,ICLN_HUMAN,CLNS1A CLCI ICLN,PICln (TC 1.A.47) family
A6NJ69,IGIP_HUMAN,IGIP C5orf53,
Q07954,LRP1_HUMAN,LRP1 A2MR APR,LDLR family
Q96M15,IFAS1_HUMAN,IGF2BP2-AS1 C3orf65,
P0DOX8,IGL1_HUMAN,,
P01562,IFNA1_HUMAN,IFNA1; IFNA13,Alpha/beta interferon family
P34913,HYES_HUMAN,EPHX2,"AB hydrolase superfamily, Epoxide hydrolase family"
Q96FT9,IFT43_HUMAN,IFT43 C14orf179,IFT43 family
O43324,MCA3_HUMAN,EEF1E1 AIMP3 P18,
